,real,er,sf,all
k_shell,5.462301587301587,4.8201058201058204,7.94973544973545,6.015873015873017
page_rank_mln,3.8670634920634925,3.939153439153439,6.513227513227513,4.682539682539683
neighbourhood_size,2.91468253968254,4.21957671957672,5.179894179894179,3.9857142857142853
vote_rank,3.9285714285714284,3.084656084656084,4.359788359788359,3.8047619047619046
degree_centrality,3.1150793650793647,4.571428571428571,5.547619047619049,4.281746031746032
k_shell_mln,4.577380952380953,4.6269841269841265,6.314814814814815,5.113492063492063
page_rank,3.0535714285714284,3.5952380952380953,5.021164021164021,3.8063492063492066
neighbourhood_2_hop_size,4.14484126984127,5.444444444444445,6.531746031746032,5.250793650793652
vote_rank_mln,2.111111111111111,3.0449735449735456,2.8492063492063493,2.612698412698413
random,5.234126984126985,5.420634920634922,6.7407407407407405,5.742063492063492
greedy,1.3293650793650793,1.0,1.0,1.1317460317460315
